Date,Hour,Ontario Demand
2022-01-01,1,13543
2022-01-01,2,13254
2022-01-01,3,12683
2022-01-01,4,12491
2022-01-01,5,12493
2022-01-01,6,12586
2022-01-01,7,12772
2022-01-01,8,12915
2022-01-01,9,13265
2022-01-01,10,13861
2022-01-01,11,14626
2022-01-01,12,15060
2022-01-01,13,15620
2022-01-01,14,15540
2022-01-01,15,15465
2022-01-01,16,15615
2022-01-01,17,16234
2022-01-01,18,16955
2022-01-01,19,16581
2022-01-01,20,16327
2022-01-01,21,16013
2022-01-01,22,15409
2022-01-01,23,14813
2022-01-01,24,14173
2022-01-02,1,13839
2022-01-02,2,13536
2022-01-02,3,13318
2022-01-02,4,13292
2022-01-02,5,13330
2022-01-02,6,13574
2022-01-02,7,13911
2022-01-02,8,14615
2022-01-02,9,15089
2022-01-02,10,15779
2022-01-02,11,16348
2022-01-02,12,16774
2022-01-02,13,16927
2022-01-02,14,17061
2022-01-02,15,16943
2022-01-02,16,17163
2022-01-02,17,17834
2022-01-02,18,18923
2022-01-02,19,18731
2022-01-02,20,18252
2022-01-02,21,17819
2022-01-02,22,17427
2022-01-02,23,16725
2022-01-02,24,15918
2022-01-03,1,15340
2022-01-03,2,15030
2022-01-03,3,14987
2022-01-03,4,14920
2022-01-03,5,15058
2022-01-03,6,15419
2022-01-03,7,16283
2022-01-03,8,17543
2022-01-03,9,18020
2022-01-03,10,18286
2022-01-03,11,18311
2022-01-03,12,18113
2022-01-03,13,17753
2022-01-03,14,17749
2022-01-03,15,17721
2022-01-03,16,18167
2022-01-03,17,19040
2022-01-03,18,20051
2022-01-03,19,19548
2022-01-03,20,18870
2022-01-03,21,18325
2022-01-03,22,17677
2022-01-03,23,16626
2022-01-03,24,15780
2022-01-04,1,15542
2022-01-04,2,14939
2022-01-04,3,14617
2022-01-04,4,14699
2022-01-04,5,14723
2022-01-04,6,15403
2022-01-04,7,16435
2022-01-04,8,17301
2022-01-04,9,17777
2022-01-04,10,17810
2022-01-04,11,17685
2022-01-04,12,17640
2022-01-04,13,17643
2022-01-04,14,17213
2022-01-04,15,17163
2022-01-04,16,17786
2022-01-04,17,18420
2022-01-04,18,19409
2022-01-04,19,18775
2022-01-04,20,18344
2022-01-04,21,17691
2022-01-04,22,16921
2022-01-04,23,16084
2022-01-04,24,15177
2022-01-05,1,14471
2022-01-05,2,14065
2022-01-05,3,13865
2022-01-05,4,13752
2022-01-05,5,13831
2022-01-05,6,14371
2022-01-05,7,15439
2022-01-05,8,16516
2022-01-05,9,16990
2022-01-05,10,17446
2022-01-05,11,17676
2022-01-05,12,17995
2022-01-05,13,18245
2022-01-05,14,18109
2022-01-05,15,17943
2022-01-05,16,18146
2022-01-05,17,18610
2022-01-05,18,19339
2022-01-05,19,18701
2022-01-05,20,18236
2022-01-05,21,17828
2022-01-05,22,17217
2022-01-05,23,16366
2022-01-05,24,15425
2022-01-06,1,14885
2022-01-06,2,14551
2022-01-06,3,14422
2022-01-06,4,14404
2022-01-06,5,14585
2022-01-06,6,15166
2022-01-06,7,16174
2022-01-06,8,17309
2022-01-06,9,18115
2022-01-06,10,18377
2022-01-06,11,18173
2022-01-06,12,18228
2022-01-06,13,18198
2022-01-06,14,18084
2022-01-06,15,18041
2022-01-06,16,18367
2022-01-06,17,19356
2022-01-06,18,20257
2022-01-06,19,19778
2022-01-06,20,19363
2022-01-06,21,18982
2022-01-06,22,18129
2022-01-06,23,17136
2022-01-06,24,16289
2022-01-07,1,15831
2022-01-07,2,15370
2022-01-07,3,15278
2022-01-07,4,14983
2022-01-07,5,15186
2022-01-07,6,15797
2022-01-07,7,16754
2022-01-07,8,17911
2022-01-07,9,18676
2022-01-07,10,18793
2022-01-07,11,18381
2022-01-07,12,18029
2022-01-07,13,17932
2022-01-07,14,17780
2022-01-07,15,17816
2022-01-07,16,18134
